Country;Response_measure;date_start;date_end
Austria;AdaptationOfWorkplace;16/03/20;13/04/20
Austria;AdaptationOfWorkplace;01/04/21;NA
Austria;BanOnAllEvents;03/11/20;NA
Austria;ClosDaycare;16/03/20;04/05/20
Austria;ClosDaycarePartial;17/11/20;07/12/20
Austria;ClosHigh;16/03/20;30/09/20
Austria;ClosHighPartial;03/11/20;NA
Austria;ClosPrim;16/03/20;18/05/20
Austria;ClosPrim;26/12/20;07/02/21
Austria;ClosPrimPartial;17/11/20;07/12/20
Austria;ClosPubAny;16/03/20;13/04/20
Austria;ClosPubAny;02/05/20;14/05/20
Austria;ClosPubAny;16/11/20;06/12/20
Austria;ClosPubAny;28/12/20;06/02/21
Austria;ClosPubAnyPartial;14/04/20;01/05/20
Austria;ClosPubAnyPartial;15/05/20;15/11/20
Austria;ClosPubAnyPartial;07/12/20;27/12/20
Austria;ClosPubAnyPartial;07/02/21;NA
Austria;ClosSec;16/03/20;03/05/20
Austria;ClosSec;03/11/20;07/02/21
Austria;ClosSecPartial;04/05/20;03/06/20
Austria;ClosSecPartial;08/02/21;NA
Austria;EntertainmentVenues;16/03/20;30/04/20
Austria;EntertainmentVenues;03/11/20;07/02/21
Austria;EntertainmentVenuesPartial;08/02/21;NA
Austria;GymsSportsCentres;03/11/20;NA
Austria;HotelsOtherAccommodation;31/03/20;29/05/20
Austria;HotelsOtherAccommodation;03/11/20;NA
Austria;IndoorOver100;10/03/20;01/07/20
Austria;IndoorOver1000;02/07/20;31/07/20
Austria;IndoorOver1000;21/09/20;02/11/20
Austria;MasksMandatoryAllSpaces;14/09/20;NA
Austria;MasksMandatoryClosedSpaces;06/04/20;14/06/20
Austria;MasksMandatoryClosedSpacesPartial;15/06/20;13/09/20
Austria;MasksVoluntaryClosedSpacesPartial;31/03/20;05/04/20
Austria;MassGather50;30/04/20;29/05/20
Austria;MassGather50;03/11/20;NA
Austria;MassGatherAll;10/03/20;31/07/20
Austria;MassGatherAll;21/09/20;NA
