"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","M","2005-01",5.07378,
"AUS","HUR","TOT","PC_LF","M","2005-02",5.085003,
"AUS","HUR","TOT","PC_LF","M","2005-03",5.16329,
"AUS","HUR","TOT","PC_LF","M","2005-04",5.123025,
"AUS","HUR","TOT","PC_LF","M","2005-05",5.100072,
"AUS","HUR","TOT","PC_LF","M","2005-06",4.950172,
"AUS","HUR","TOT","PC_LF","M","2005-07",4.971967,
"AUS","HUR","TOT","PC_LF","M","2005-08",4.900029,
"AUS","HUR","TOT","PC_LF","M","2005-09",5.001081,
"AUS","HUR","TOT","PC_LF","M","2005-10",5.015691,
"AUS","HUR","TOT","PC_LF","M","2005-11",4.937207,
"AUS","HUR","TOT","PC_LF","M","2005-12",5.07023,
"AUS","HUR","TOT","PC_LF","M","2006-01",5.162743,
"AUS","HUR","TOT","PC_LF","M","2006-02",5.105403,
"AUS","HUR","TOT","PC_LF","M","2006-03",4.867585,
"AUS","HUR","TOT","PC_LF","M","2006-04",4.96707,
"AUS","HUR","TOT","PC_LF","M","2006-05",4.798802,
"AUS","HUR","TOT","PC_LF","M","2006-06",4.808396,
"AUS","HUR","TOT","PC_LF","M","2006-07",4.656291,
"AUS","HUR","TOT","PC_LF","M","2006-08",4.710527,
"AUS","HUR","TOT","PC_LF","M","2006-09",4.664573,
"AUS","HUR","TOT","PC_LF","M","2006-10",4.463087,
"AUS","HUR","TOT","PC_LF","M","2006-11",4.515171,
"AUS","HUR","TOT","PC_LF","M","2006-12",4.568395,
"AUS","HUR","TOT","PC_LF","M","2007-01",4.554278,
"AUS","HUR","TOT","PC_LF","M","2007-02",4.637208,
"AUS","HUR","TOT","PC_LF","M","2007-03",4.460314,
"AUS","HUR","TOT","PC_LF","M","2007-04",4.387055,
"AUS","HUR","TOT","PC_LF","M","2007-05",4.265316,
"AUS","HUR","TOT","PC_LF","M","2007-06",4.324491,
"AUS","HUR","TOT","PC_LF","M","2007-07",4.252711,
"AUS","HUR","TOT","PC_LF","M","2007-08",4.295679,
"AUS","HUR","TOT","PC_LF","M","2007-09",4.211987,
"AUS","HUR","TOT","PC_LF","M","2007-10",4.326239,
"AUS","HUR","TOT","PC_LF","M","2007-11",4.426877,
"AUS","HUR","TOT","PC_LF","M","2007-12",4.308947,
"AUS","HUR","TOT","PC_LF","M","2008-01",4.220719,
"AUS","HUR","TOT","PC_LF","M","2008-02",3.982671,
"AUS","HUR","TOT","PC_LF","M","2008-03",4.057982,
"AUS","HUR","TOT","PC_LF","M","2008-04",4.26667,
"AUS","HUR","TOT","PC_LF","M","2008-05",4.267091,
"AUS","HUR","TOT","PC_LF","M","2008-06",4.24435,
"AUS","HUR","TOT","PC_LF","M","2008-07",4.249796,
"AUS","HUR","TOT","PC_LF","M","2008-08",4.010938,
"AUS","HUR","TOT","PC_LF","M","2008-09",4.287791,
"AUS","HUR","TOT","PC_LF","M","2008-10",4.290184,
"AUS","HUR","TOT","PC_LF","M","2008-11",4.462899,
"AUS","HUR","TOT","PC_LF","M","2008-12",4.570759,
"AUS","HUR","TOT","PC_LF","M","2009-01",4.907489,
"AUS","HUR","TOT","PC_LF","M","2009-02",5.309068,
"AUS","HUR","TOT","PC_LF","M","2009-03",5.712677,
"AUS","HUR","TOT","PC_LF","M","2009-04",5.514528,
"AUS","HUR","TOT","PC_LF","M","2009-05",5.813281,
"AUS","HUR","TOT","PC_LF","M","2009-06",5.862243,
"AUS","HUR","TOT","PC_LF","M","2009-07",5.67159,
"AUS","HUR","TOT","PC_LF","M","2009-08",5.704917,
"AUS","HUR","TOT","PC_LF","M","2009-09",5.660139,
